"","Group","RUELLE_ID","lat_S1","lon_S1","lat_S2","lon_S2","lat_S3","lon_S3"
"81",16,"RPP-H-1000056",-396879.390898509,185712.512167124,-396909.261244585,185728.029230021,-396852.23603844,185698.546810517
"82",17,"RPP-H-1000014a",-396658.29815657,187346.814930677,-396711.698096532,187375.237479367,-396604.898216608,187318.823026665
"83",17,"RPP-H-1000014b",-396838.270681833,185767.209813835,-396859.994569888,185777.295904718,-396812.279601481,185754.020310373
"84",17,"RPP-I-1000054",-396967.062303875,185838.200376587,-396974.820835323,185828.502212277,-396958.527919282,185849.83817376
"85",17,"RPP-T-1000108",-397070.250772138,185818.028194821,-397036.113233765,185792.03711447,-397101.672824503,185842.467568884
"86",17,"RPP-L-1000037",-397291.756844987,185763.718474683,-397258.783086332,185739.667027193,-397314.64451276,185782.338950159
"87",18,"RPP-T-1000115",-397562.72355582,186084.921676644,-397495.22433222,186033.715369085,-397615.093643096,186124.49018703
"88",18,"RPP-T-1000049",-397762.505740614,186238.540599321,-397731.471614821,186214.877078403,-397795.47949927,186263.367899955
"89",18,"RPP-T-1000028",-397872.288960608,186210.997812679,-397811.384488739,186164.446623989,-397930.090019898,186255.221441934
"90",18,"RPP-T-1000024",-398186.800429196,185906.669416619,-398171.477329586,185896.001435877,-398200.377859231,185917.143434074
"91",19,"RPP-H-1000110",-396230.680687787,186005.202766013,-396272.96468418,186026.926654068,-396194.603516552,185986.582290537
"92",19,"RPP-H-1000058",-396175.595114504,186131.66682862,-396212.448138883,186151.451083813,-396135.638677545,186111.882573427
"93",19,"RPP-T-1000116",-397083.246312314,186393.711228287,-397092.944476624,186377.224348959,-397074.905891007,186410.97396076
"94",19,"RPP-H-1000017",-397072.578331572,186771.939636393,-397019.820317724,186744.008923179,-397119.517446835,186795.60315731
"95",19,"RPP-H-1000106",-397512.487064692,186707.543825372,-397460.116977416,186680.00103873,-397562.141665962,186732.759052579
"96",20,"RPP-H-1000012a",-395044.110284408,185424.282723819,-395035.963826387,185438.636006998,-395054.584301863,185404.110542053
"97",20,"RPP-H-1000012b",-394862.948575089,185332.732052729,-394854.802117068,185349.800821915,-394870.707106537,185314.499503825
"98",20,"RPP-H-1000013",-394925.792679821,185449.885877598,-394881.956977138,185427.774062971,-394967.688749642,185471.609765654
"99",20,"RPP-T-1000062",-394816.300404758,185839.946046163,-394840.739778821,185854.299329343,-394798.843709,185831.41166157
"100",20,"RPP-T-1000118",-394800.201452003,185915.591727785,-394815.7185149,185922.96233266,-394787.399875113,185908.221122909
"101",20,"RPP-I-1000112",-394993.000958494,186019.16812262,-394911.924304859,185975.332419937,-395056.232989798,186054.081514137
"102",20,"RPP-I-1000020",-394742.012466141,186039.340304385,-394747.831364727,186029.642140075,-394735.805640982,186049.038468696
"103",21,"RPP-H-1000061",-395668.963010928,186123.908297172,-395614.265364218,186095.201730813,-395715.126273046,186147.959744661
"104",21,"RPP-F-1000092",-395587.886357293,186260.458450662,-395527.757738569,186227.872618579,-395644.135710294,186291.492576455
"105",21,"RPP-H-1000064",-395878.831286605,186235.243223455,-395902.882734095,186247.656873772,-395855.943618833,186224.381279427
"106",21,"RPP-F-1000029",-395794.017213654,186372.257020491,-395755.138022729,186352.267247798,-395821.709467568,186387.478590524
"107",21,"RPP-T-1000091",-395755.688199959,186432.95990821,-395718.092755903,186412.419958287,-395788.148656534,186451.115756803
"108",22,"RPP-H-1000111",-396005.835447235,186392.613578004,-396026.192004748,186403.800515016,-395986.395851772,186382.160210633
"109",22,"RPP-H-1000095",-395959.437167499,186544.279101096,-395928.443850204,186527.223606964,-395988.963345513,186560.050848359
"110",22,"RPP-H-1000097",-396177.949224045,186664.492825869,-396212.97717436,186682.648674461,-396144.57180542,186645.603407636
"111",22,"RPP-H-1000096",-396099.090487734,186783.881284796,-396134.485222869,186803.320880259,-396064.062537419,186765.542043794
"112",22,"RPP-H-1000030",-396062.503701934,186845.22604595,-396095.881120558,186863.932071773,-396027.017270593,186826.428323922
"113",23,"RPP-H-1000107",-396060.993989415,187196.304616027,-396087.047992381,187210.515890371,-396033.863374757,187181.878019343
"114",23,"RPP-H-1000009",-395960.848972868,187558.72206655,-395954.303510217,187571.713818175,-395968.088651255,187545.531967572
"115",23,"RPP-I-1000018",-396014.898626577,187503.482328723,-396021.741610257,187491.482313863,-396008.551511279,187515.28399623
"116",23,"RPP-I-1000071",-395540.42115902,187825.675610706,-395532.979854812,187840.735393033,-395548.216811048,187811.678871838
"117",23,"RPP-H-1000019",-395731.591807611,188198.981038491,-395666.657569697,188165.052234779,-395610.847788135,188136.350061404
"118",24,"RPP-H-1000100",-396263.18166532,187303.319818289,-396305.600166015,187325.49801916,-396220.978486963,187280.926295079
"119",24,"RPP-H-1000007",-396864.361634568,187620.704945321,-396912.593838405,187646.11298127,-396810.961694606,187591.205784939
"120",24,"RPP-H-1000008a",-396743.502834618,187987.028382061,-396740.230103293,187993.772192065,-396747.420194841,187980.18539838
"121",24,"RPP-H-1000008b",-396535.907536223,187860.75549842,-396528.767031513,187874.639813134,-396543.14721461,187847.168704735
