RUELLE_ID,lat_S1,lat_S2,lat_S3,long_S1,long_S2,long_S3
RPP-H-1000070a,-397177.5124620492,-397171.69356346334,-397184.1072137808,185317.2150943003,185324.5856991677,185309.0686362729
RPP-H-1000070b,-397249.7463805969,-397240.6312208222,-397231.5160610473,185283.03758495688,185276.82270329367,185269.3648452974
RPP-H-1000025,-397298.545552641,-397290.76459958375,-397305.2659901351,185208.2077274484,185203.07277420317,185213.84523575334
RPP-I-1000098,-397433.5439998399,-397407.552919488,-397454.87996132177,185311.39619570476,185292.38779365754,185329.62874461248
RPP-L-1000099,-397637.2054503543,-397583.67158336245,-397683.36871247087,185468.11853097158,185426.9983142846,185504.1957021975
RPP-I-1000038,-397725.652708864,-397658.5414118372,-397781.90206186246,185309.45656284475,185258.63818185852,185352.90433895792
RPP-I-1000053,-397765.22121925035,-397823.7981316834,-397714.402838264,185231.09539521206,185276.4828041845,185193.07859111976
RPP-I-1000052,-397804.7897296359,-397746.2128172015,-397858.32359662774,185163.59617161826,185118.9846157867,185205.49224143833
RPP-T-1000072,-397621.6883874586,-397585.9991427971,-397649.23117409996,185022.77882583087,184995.62396575836,185044.50271388318
RPP-I-1000023,-397945.99500199256,-397887.80601613113,-398013.1062990186,184992.52055317786,184949.07277706894,185028.2097978489
RPP-I-1000101,-398023.58031647344,-397965.0034040402,-398075.1745506039,185429.32587372142,185384.32639132155,185470.83401697176
RPP-I-1000083,-397972.76193548786,-397912.6333167642,-398037.54567308066,185499.5405833281,185453.76524778878,185549.9710377432
RPP-I-1000105,-398332.3698681116,-398269.9136899539,-398380.0848365176,185570.143219506,185521.26447138257,185607.7720970356
RPP-T-1000024,-398186.80042181414,-398171.4773222046,-398200.37785184913,185906.66952108106,185896.00154033693,185917.14353853467
RPP-H-1000003b,-397355.3283046775,-397350.67318580946,-397358.81964382925,184715.9289070471,184721.3598790588,184711.27378817846
RPP-H-1000089,-397287.8290810782,-397243.60545182426,-397325.4579586014,184765.1955817445,184732.22182308495,184794.29007468052
RPP-H-1000069,-397270.37238531956,-397224.59704977577,-397314.98394114664,184834.63443821174,184799.3331201189,184868.77197658332
RPP-H-1000040,-397987.06672784773,-397942.8430985929,-398028.18694452324,184469.98346013416,184436.23384833656,184500.62965934983
RPP-I-1000086,-397831.89609888324,-397798.92234022846,-397862.15437153185,184253.90835930096,184229.8569118104,184276.408100497
RPP-I-1000039,-398279.1754368719,-398224.4777901627,-398322.23528640904,184584.42179900198,184543.6895088883,184616.23177793677
RPP-I-1000073,-398329.9938178578,-398279.17543687235,-398379.6484191262,184508.3881908061,184471.5351664202,184544.8532886046
RPP-J-1000084,-398529.38807607634,-398477.7938419457,-398582.9219430687,184765.97143489035,184728.7304839375,184805.53994527075
RPP-I-1000114,-398638.3954429239,-398573.99963190325,-398692.31723648816,184601.87849475184,184554.16352634545,184641.05907857104
RPP-I-1000113,-398892.8752744238,-398833.1345822724,-398944.08158198174,184788.4711760871,184744.24754683094,184826.10005361034
RPP-L-1000048,-398774.363706552,-398720.4419129862,-398836.8198847096,185512.342160215,185471.60987011687,185556.17786290284
RPP-J-1000047,-398813.93221693713,-398759.6224968011,-398863.5868182063,185444.06708347393,185403.33479336166,185481.69596099932
RPP-H-1000081,-398926.43092293653,-398871.7332762273,-398974.53381791606,185290.83608736517,185251.65550354598,185326.13740545587
RPP-H-1000080,-398984.2319822262,-398935.74116067466,-399031.55902405985,185215.1904057482,185180.27701422723,185249.7158706952
