"","folder","time_cat","meanACI","sdACI","minACI","maxACI","meanNDSI","sdNDSI","minNDSI","maxNDSI"
"1","AudioMoth_RPP-H-1000003a","afternoon",148.161550738254,6.6482495686896,118.759895903979,162.354397397931,0.262873757447352,0.388656341642055,-0.669737176864604,0.998972717420162
"2","AudioMoth_RPP-H-1000003a","evening",149.432228228225,8.36086875178383,118.23193333642,179.289836107331,0.288409512217771,0.407666432416026,-0.641808879905413,0.993916925031799
"3","AudioMoth_RPP-H-1000003a","morning",149.289749051331,4.35919046101898,128.071167637946,161.424292760106,0.21961550438184,0.331521509251173,-0.801623468421448,0.996073836322985
"4","AudioMoth_RPP-H-1000007","afternoon",143.131702184828,12.9631398407122,112.157395417877,179.755306718792,0.853174421463603,0.275317432773329,-0.18701708701875,0.999823976071723
"5","AudioMoth_RPP-H-1000007","evening",143.474605161717,12.0342936922819,122.183908048783,175.654029394045,0.864217182405787,0.289449388209327,-0.177157584146626,0.999815824750492
"6","AudioMoth_RPP-H-1000007","morning",147.037760344932,9.29023704592727,124.683217374168,172.05784435367,0.522728855439278,0.472110918007564,-0.786047834612202,0.999797740659771
"7","AudioMoth_RPP-H-1000008","afternoon",141.343795591338,11.8367541710811,115.114644926904,176.092008554897,0.830000236209074,0.283588240917034,-0.221661426920141,0.999011853907636
"8","AudioMoth_RPP-H-1000008","evening",144.039658884048,13.5900302171916,114.365759275305,174.888200157527,0.836031317584171,0.269173177725125,-0.235252411094999,0.999259109610785
"9","AudioMoth_RPP-H-1000008","morning",146.852023764104,7.08958233943116,130.202721505976,167.390275901492,0.581421119536455,0.45911812360282,-0.722812300864034,0.99949139816468
"10","AudioMoth_RPP-H-1000009","afternoon",140.425605533187,11.9766167838145,102.888315623418,162.034926648822,0.777452336840239,0.314672145407975,-0.365936093009667,0.999732319834188
"11","AudioMoth_RPP-H-1000009","evening",141.348356738322,11.4657142886253,114.873294963874,160.54731459068,0.790772642406116,0.300888944126407,-0.15686725690597,0.999679923758155
"12","AudioMoth_RPP-H-1000009","morning",145.716935885288,8.82399630056513,114.277988397069,159.944309187652,0.550196666752516,0.411866385571794,-0.606971170829837,0.999596718655582
