RUELLE_ID,Avg_max_daily_temp,Avg_min_daily_temp,Averaged_green_score,Groundcover_avg,Midstorey_avg,Canopy_avg
RPP_H_1000003a,26.09,18.87,148.3333333,20,71.6666666666667,56.6666666666667
RPP_H_1000007,26.525,18.4,141.6666667,53.3333333333333,60,28.3333333333333
RPP_H_1000008,26.6160807518274,18.3722241559346,163.3333333,63.3333333333333,65,35
RPP_H_1000009,28.0791397849462,18.0452329749104,58.33333333,26.6666666666667,20,11.6666666666667
RPP_H_1000013,26.715,18.725,73.33333333,43.3333333333333,18.3333333333333,11.6666666666667
RPP_H_1000015,27.495,18.57,98.33333333,10,60,28.3333333333333
RPP_H_1000016,26.17,18.575,18.33333333,5,8.33333333333333,5
RPP_H_1000017,29.3874533233757,17.8915982076176,100,10,15,73.3333333333333
RPP_H_1000019,27.16,18.245,128.3333333,5,51.6666666666667,71.6666666666667
RPP_H_1000025,26.82,19.1,83.33333333,11.6666666666667,13.3333333333333,58.3333333333333
RPP_H_1000058,29.25,18.805,105,13.3333333333333,51.6666666666667,40
RPP_H_1000065,26.575,18.75,65,6.66666666666667,8.33333333333333,50
RPP_H_1000066,26.765,18.855,78.33333333,8.33333333333333,63.3333333333333,6.66666666666667
RPP_H_1000093,27.66,18.885,24.33333333,0.666666666666667,8.66666666666667,15
RPP_H_1000111,28.231732776618,18.4876826722338,37,4.33333333333333,4.33333333333333,28.3333333333333
RPP_I_1000034,27.05,18.81,15,6.66666666666667,8.33333333333333,0
RPP_I_1000039,27.085,18.75,110,10,18.3333333333333,81.6666666666667
RPP_I_1000077,28.295,18.395,106.6666667,68.3333333333333,31.6666666666667,6.66666666666667
RPP_I_1000102a,26.905,18.865,135,38.3333333333333,70,26.6666666666667
RPP_I_1000102b,28.725,18.7,100,35,55,10
RPP_I_1000105,29.56,18.52,45,6.66666666666667,33.3333333333333,5
RPP_J_1000047,26.425,18.435,61.6,11.6666666666667,40,10
RPP_T_1000026,28.21,18.525,146.6666667,40,68.3333333333333,38.3333333333333
