"","Group","RUELLE_ID","lat_S1","lon_S1","lat_S2","lon_S2","lat_S3","lon_S3","lat_S4","lon_S4","lat_S5","lon_S5","lat_S6","lon_S6"
"1",1,"RPP-I-1000035",-73.614239124874,45.5280585514911,-73.6133594469646,45.5276709089655,-73.6150402037267,45.5284195585003,NA,NA,NA,NA,NA,NA
"2",1,"RPP-T-1000004",-73.6193894734806,45.5315815028492,-73.6189311110166,45.5313767537504,-73.6198121407669,45.5317775265456,NA,NA,NA,NA,NA,NA
"3",1,"RPP-I-1000102",-73.6175540811252,45.5315330807824,-73.6174074269069,45.5314598528077,-73.6177003847348,45.5316028238454,-73.6178116196455,45.5312750647225,-73.6176430275556,45.531230950374,-73.6179858634216,45.5313259010084
"4",1,"RPP-H-1000032",-73.6181832911863,45.5325943513372,-73.617610070073,45.5323357949294,-73.6186741670813,45.5328254974969,NA,NA,NA,NA,NA,NA
"5",2,"RPP-I-1000036",-73.6082170484934,45.5296979560541,-73.6076333116626,45.5294328662757,-73.6089573273575,45.5300357894043,NA,NA,NA,NA,NA,NA
"6",2,"RPP-H-1000050",-73.6093392164133,45.531928949549,-73.6087232989761,45.5316409546664,-73.6100208853597,45.5322276712795,NA,NA,NA,NA,NA,NA
"7",2,"RPP-J-1000001",-73.6095461332717,45.5334524914681,-73.6094687551374,45.5334226845413,-73.6096355816097,45.5334966585987,NA,NA,NA,NA,NA,NA
"8",2,"RPP-J-1000002",-73.6079368190842,45.5327238067089,-73.6074470439522,45.532503063318,-73.6083799505375,45.5329258597075,NA,NA,NA,NA,NA,NA
"9",2,"RPP-I-1000084",-73.6060942945624,45.5304516492263,-73.605270988926,45.5300794082212,-73.6068455197431,45.5307994582932,NA,NA,NA,NA,NA,NA
"10",3,"RPP-T-1000075",-73.6049894073419,45.5313857406411,-73.6043904698173,45.5311178882424,-73.6056575961259,45.5316991702356,NA,NA,NA,NA,NA,NA
"11",3,"RPP-I-1000074",-73.6037743597444,45.5328576313457,-73.6030386736943,45.532516031448,-73.6045814501632,45.5332166828381,NA,NA,NA,NA,NA,NA
"12",3,"RPP-I-1000010",-73.6023817538928,45.5343453435255,-73.6016577047015,45.534020665604,-73.603230906095,45.5347268262536,-73.5992195703188,45.5328987381198,-73.5984079229828,45.5325433752047,-73.600058775525,45.5332807407654
"13",3,"RPP-I-1000055",-73.5985891825764,45.5336060139664,-73.5976980395247,45.5332020682149,-73.59937679949,45.5339695754629,NA,NA,NA,NA,NA,NA
"14",4,"RPP-L-1000051",-73.6061399404237,45.5360528440545,-73.6054260927492,45.5357311853931,-73.606781346474,45.5363465880386,NA,NA,NA,NA,NA,NA
"15",4,"RPP-I-1000034",-73.6105080708209,45.5359086822957,-73.6096425930773,45.5355140622354,-73.6113993629534,45.5363125145422,NA,NA,NA,NA,NA,NA
"16",4,"RPP-I-1000103",-73.6098041284495,45.5367737907653,-73.6089333411541,45.5363759275298,-73.6106438276063,45.5371591884409,NA,NA,NA,NA,NA,NA
"17",4,"RPP-I-1000021",-73.6091954351285,45.5374485300499,-73.6083921436397,45.5370788172821,-73.610023137583,45.5378135176852,NA,NA,NA,NA,NA,NA
"18",4,"RPP-I-1000078",-73.6128336140362,45.5381566615234,-73.6121826010026,45.5378669348989,-73.6134319772868,45.5384174913813,NA,NA,NA,NA,NA,NA
"19",4,"RPP-I-1000077",-73.6130470296139,45.5356804916911,-73.6129713015774,45.535768321625,-73.6131287593611,45.5356028687876,NA,NA,NA,NA,NA,NA
