RUELLE_ID,Uniq_S_ID,lat,long,Group_S_ID
RPP-H-1000041,119,-396912.3646498066,185579.06553067427,RPP-H-1000041_2
RPP-H-1000041,120,-396975.9846076813,185612.03928933525,RPP-H-1000041_3
RPP-H-1000043,154,-396425.1288748611,185631.0476913768,RPP-H-1000043_1
RPP-H-1000043,155,-396387.4999973371,185611.65136275772,RPP-H-1000043_2
RPP-H-1000043,156,-396462.36982581165,185650.83194657904,RPP-H-1000043_3
RPP-H-1000044,142,-396738.9614719394,185941.77687588407,RPP-H-1000044_1
RPP-H-1000044,143,-396714.52209787717,185929.75115213808,RPP-H-1000044_2
RPP-H-1000044,144,-396762.2370662839,185953.4146730596,RPP-H-1000044_3
RPP-H-1000044,169,-396304.96861905814,185274.15524475052,RPP-H-1000044_4
RPP-H-1000044,170,-396261.13291637565,185251.65550355447,RPP-H-1000044_5
RPP-H-1000044,171,-396341.0457902919,185292.77572022585,RPP-H-1000044_6
RPP-H-1000045,166,-396274.6133647663,185327.68911175532,RPP-H-1000045_1
RPP-H-1000045,167,-396226.1225432153,185302.08595797594,RPP-H-1000045_2
RPP-H-1000045,168,-396315.3456548695,185348.24922008783,RPP-H-1000045_3
RPP-H-1000050,343,-399129.704446881,183938.5240559222,RPP-H-1000050_1
RPP-H-1000050,344,-399083.92911133805,183903.222737823,RPP-H-1000050_2
RPP-H-1000050,345,-399180.52282786736,183975.37708029326,RPP-H-1000050_3
RPP-H-1000056,112,-396879.39089115174,185712.5122715893,RPP-H-1000056_1
RPP-H-1000056,113,-396909.26123722724,185728.02933447846,RPP-H-1000056_2
RPP-H-1000056,114,-396852.2360310831,185698.54691497624,RPP-H-1000056_3
RPP-H-1000057,130,-396694.3499161128,185618.24611449274,RPP-H-1000057_1
RPP-H-1000057,131,-396663.3157903195,185602.34112502183,RPP-H-1000057_2
RPP-H-1000057,132,-396723.4444090425,185633.3752508228,RPP-H-1000057_3
RPP-H-1000058,76,-396175.59510715835,186131.6669330854,RPP-H-1000058_1
RPP-H-1000058,77,-396212.44813153794,186151.45118827277,RPP-H-1000058_2
RPP-H-1000058,78,-396135.6386702011,186111.88267788527,RPP-H-1000058_3
RPP-H-1000059,151,-396392.93096935103,185690.40045695732,RPP-H-1000059_1
RPP-H-1000059,152,-396352.5866058206,185669.45242204587,RPP-H-1000059_2
RPP-H-1000059,153,-396437.1545986056,185712.90019815761,RPP-H-1000059_3
RPP-H-1000060,163,-396548.48952488706,185392.8607759187,RPP-H-1000060_1
RPP-H-1000060,164,-396509.69686764636,185373.07652071645,RPP-H-1000060_2
RPP-H-1000060,165,-396584.95462269365,185411.4812513919,RPP-H-1000060_3
RPP-H-1000061,55,-395668.96300359204,186123.90840164045,RPP-H-1000061_1
RPP-H-1000061,56,-395614.2653568832,186095.20183527982,RPP-H-1000061_2
RPP-H-1000061,57,-395715.1262657083,186147.95984913173,RPP-H-1000061_3
RPP-H-1000064,58,-395878.8312792652,186235.24332791643,RPP-H-1000064_1
RPP-H-1000064,59,-395902.88272675435,186247.6569782371,RPP-H-1000064_2
RPP-H-1000064,60,-395855.94361149333,186224.38138389663,RPP-H-1000064_3
RPP-H-1000065,160,-396517.84332566656,185452.21354149215,RPP-H-1000065_1
RPP-H-1000065,161,-396476.33518241905,185431.26550658426,RPP-H-1000065_2
RPP-H-1000065,162,-396555.0842766182,185471.6098701176,RPP-H-1000065_3
RPP-H-1000066,139,-396599.69583244424,185796.3044112273,RPP-H-1000066_1
RPP-H-1000066,140,-396569.04963322345,185780.39942176416,RPP-H-1000066_2
RPP-H-1000066,141,-396629.1782519472,185811.04562098123,RPP-H-1000066_3
RPP-H-1000067,136,-396631.11788480944,185736.1757925094,RPP-H-1000067_1
RPP-H-1000067,137,-396604.73887788574,185722.5983624774,RPP-H-1000067_2
RPP-H-1000067,138,-396660.6003043135,185751.30492882317,RPP-H-1000067_3
RPP-H-1000068,115,-396910.4250169437,185653.54743257992,RPP-H-1000068_1
RPP-H-1000068,116,-396875.51162542775,185635.70281024472,RPP-H-1000068_2
RPP-H-1000068,117,-396943.3987755988,185669.84034862058,RPP-H-1000068_3
RPP-H-1000069,259,-397270.37238531956,184834.63443821174,RPP-H-1000069_1
RPP-H-1000069,260,-397224.59704977577,184799.3331201189,RPP-H-1000069_2
RPP-H-1000069,261,-397314.98394114664,184868.77197658332,RPP-H-1000069_3
RPP-H-1000070,202,-397177.5124620492,185317.2150943003,RPP-H-1000070_1
RPP-H-1000070,203,-397171.69356346334,185324.5856991677,RPP-H-1000070_2
RPP-H-1000070,204,-397184.1072137808,185309.0686362729,RPP-H-1000070_3
RPP-H-1000070,205,-397269.4510597102,185271.82768532008,RPP-H-1000070_4
RPP-H-1000070,206,-397243.8479059315,185302.0859579731,RPP-H-1000070_5
RPP-H-1000070,207,-397255.8736296764,185288.12060136782,RPP-H-1000070_6
RPP-H-1000070,208,-397238.8048604906,185274.93109789919,RPP-H-1000070_7
RPP-H-1000070,209,-397220.1843850152,185264.45708044348,RPP-H-1000070_8
RPP-H-1000070,210,-397210.0982941318,185278.42243705015,RPP-H-1000070_9
RPP-H-1000076,301,-398720.4419129881,185023.94260554077,RPP-H-1000076_1
RPP-H-1000076,302,-398669.6235320025,184986.31372801823,RPP-H-1000076_2
RPP-H-1000076,303,-398765.0534688149,185055.75258448476,RPP-H-1000076_3
RPP-H-1000080,292,-398984.2319822262,185215.1904057482,RPP-H-1000080_1
RPP-H-1000080,293,-398935.74116067466,185180.27701422723,RPP-H-1000080_2
RPP-H-1000080,294,-399031.55902405985,185249.7158706952,RPP-H-1000080_3
RPP-H-1000081,289,-398926.43092293653,185290.83608736517,RPP-H-1000081_1
RPP-H-1000081,290,-398871.7332762273,185251.65550354598,RPP-H-1000081_2
RPP-H-1000081,291,-398974.53381791606,185326.13740545587,RPP-H-1000081_3
RPP-H-1000088,127,-396724.9961153325,185558.50542234388,RPP-H-1000088_1
RPP-H-1000088,128,-396752.1509754016,185572.08285237305,RPP-H-1000088_2
RPP-H-1000088,129,-396699.39296155376,185545.31591887737,RPP-H-1000088_3
RPP-H-1000089,256,-397287.8290810782,184765.1955817445,RPP-H-1000089_1
RPP-H-1000089,257,-397243.60545182426,184732.22182308495,RPP-H-1000089_2
RPP-H-1000089,258,-397325.4579586014,184794.29007468052,RPP-H-1000089_3
RPP-H-1000090,187,-396030.02566086163,185902.59629207407,RPP-H-1000090_1
RPP-H-1000090,188,-396004.0345805108,185889.40678861042,RPP-H-1000090_2
RPP-H-1000090,189,-396055.24088806834,185915.78579553706,RPP-H-1000090_3
RPP-H-1000093,184,-396042.8272377518,185831.99365589058,RPP-H-1000093_1
RPP-H-1000093,185,-396007.5259196628,185813.37318041592,RPP-H-1000093_2
RPP-H-1000093,186,-396075.4130698341,185849.06242507635,RPP-H-1000093_3
RPP-H-1000094,181,-396073.4734369713,185758.28760713927,RPP-H-1000094_1
RPP-H-1000094,182,-396034.6807797304,185738.50335194552,RPP-H-1000094_2
RPP-H-1000094,183,-396106.4471956269,185774.58052317356,RPP-H-1000094_3
RPP-H-1000095,40,-395959.43716015684,186544.27920555766,RPP-H-1000095_1
RPP-H-1000095,41,-395928.4438428638,186527.22371142433,RPP-H-1000095_2
RPP-H-1000095,42,-395988.96333817,186560.05095282668,RPP-H-1000095_3
RPP-H-1000096,34,-396099.09048039006,186783.88138925657,RPP-H-1000096_1
RPP-H-1000096,35,-396134.48521552276,186803.32098473475,RPP-H-1000096_2
RPP-H-1000096,36,-396064.06253007526,186765.54214825755,RPP-H-1000096_3
RPP-H-1000097,37,-396177.94921669934,186664.49293032972,RPP-H-1000097_1
RPP-H-1000097,38,-396212.977167014,186682.6487789259,RPP-H-1000097_2
RPP-H-1000097,39,-396144.57179807517,186645.60351210102,RPP-H-1000097_3
RPP-H-1000100,25,-396263.1816579716,187303.31992275643,RPP-H-1000100_1
RPP-H-1000100,26,-396305.6001586656,187325.49812362797,RPP-H-1000100_2
RPP-H-1000100,27,-396220.9784796149,187280.9263995464,RPP-H-1000100_3
RPP-H-1000104,304,-398663.4167068435,185100.36414030995,RPP-H-1000104_1
RPP-H-1000104,305,-398611.4345461405,185061.9594096394,RPP-H-1000104_2
RPP-H-1000104,306,-398711.90752839466,185134.88960524913,RPP-H-1000104_3
RPP-H-1000106,88,-397512.4870573214,186707.54392983415,RPP-H-1000106_1
RPP-H-1000106,89,-397460.11697004695,186680.00114319334,RPP-H-1000106_2
RPP-H-1000106,90,-397562.14165858936,186732.75915704735,RPP-H-1000106_3
RPP-H-1000107,28,-396060.993982071,187196.304720488,RPP-H-1000107_1
RPP-H-1000107,29,-396087.0479850355,187210.51599484024,RPP-H-1000107_2
RPP-H-1000107,30,-396033.863367413,187181.87812380935,RPP-H-1000107_3
RPP-H-1000109,145,-396328.5351583304,185807.55428183026,RPP-H-1000109_1
RPP-H-1000109,146,-396288.9666479449,185787.3821000682,RPP-H-1000109_2
RPP-H-1000109,147,-396366.55196242617,185827.338537024,RPP-H-1000109_3
RPP-H-1000110,79,-396230.6806804411,186005.20287047795,RPP-H-1000110_1
RPP-H-1000110,80,-396272.9646768333,186026.9267585324,RPP-H-1000110_2
RPP-H-1000110,81,-396194.60350920627,185986.58239500475,RPP-H-1000110_3
RPP-H-1000111,43,-396005.83543989295,186392.61368246947,RPP-H-1000111_1
RPP-H-1000111,44,-396026.19199740596,186403.80061947706,RPP-H-1000111_2
RPP-H-1000111,45,-395986.39584443014,186382.16031509647,RPP-H-1000111_3
RPP-I-1000010,325,-398568.18073331757,184167.7886602184,RPP-I-1000010_1
RPP-I-1000010,326,-398514.2589397524,184127.83222326398,RPP-I-1000010_2
RPP-I-1000010,327,-398631.4127646211,184214.72777548106,RPP-I-1000010_3
RPP-I-1000010,360,-398332.9032671511,183990.1182900507,RPP-I-1000010_4
RPP-I-1000010,361,-398272.38672185515,183946.28258736784,RPP-I-1000010_5
RPP-I-1000010,362,-398395.35944530927,184037.05740531202,RPP-I-1000010_6
RPP-I-1000018,10,-396014.89861923305,187503.48243318475,RPP-I-1000018_1
RPP-I-1000018,11,-396021.7416029133,187491.48241832876,RPP-I-1000018_2
RPP-I-1000018,12,-396008.5515039355,187515.28410069342,RPP-I-1000018_3
RPP-I-1000020,64,-394742.0124588224,186039.34040885378,RPP-I-1000020_1
RPP-I-1000020,65,-394747.83135740826,186029.64224453754,RPP-I-1000020_2
RPP-I-1000020,66,-394735.80563366436,186049.03857315236,RPP-I-1000020_3
RPP-I-1000021,316,-399075.2007634578,184549.1204809028,RPP-I-1000021_1
RPP-I-1000021,317,-399015.46007130644,184503.73307193036,RPP-I-1000021_2
RPP-I-1000021,318,-399136.88108847116,184594.11996329844,RPP-I-1000021_3
RPP-I-1000023,236,-397945.99500199256,184992.52055317786,RPP-I-1000023_1
RPP-I-1000023,237,-397887.80601613113,184949.07277706894,RPP-I-1000023_2
RPP-I-1000023,238,-398013.1062990186,185028.2097978489,RPP-I-1000023_3
RPP-I-1000033,298,-399094.7910553626,185071.269647381,RPP-I-1000033_1
RPP-I-1000033,299,-399027.6797583368,185022.3908992498,RPP-I-1000033_2
RPP-I-1000033,300,-399161.514425818,185120.92424864598,RPP-I-1000033_3
RPP-I-1000034,351,-399189.63910231856,184385.80339391725,RPP-I-1000034_1
RPP-I-1000034,352,-399125.2432912977,184337.3125723678,RPP-I-1000034_2
RPP-I-1000034,353,-399255.9745462003,184435.45799518435,RPP-I-1000034_3
RPP-I-1000035,381,-399542.220665341,183536.88710600493,RPP-I-1000035_1
RPP-I-1000035,382,-399476.65460114443,183489.08733017012,RPP-I-1000035_2
RPP-I-1000035,383,-399601.86463341606,183581.3028269175,RPP-I-1000035_3
RPP-I-1000036,337,-399059.6837005625,183685.20800412554,RPP-I-1000036_1
RPP-I-1000036,338,-399016.23592445254,183652.62217204637,RPP-I-1000036_2
RPP-I-1000036,339,-399114.7692738436,183726.7161473787,RPP-I-1000036_3
RPP-I-1000038,224,-397725.652708864,185309.45656284475,RPP-I-1000038_1
RPP-I-1000038,225,-397658.5414118372,185258.63818185852,RPP-I-1000038_2
RPP-I-1000038,226,-397781.90206186246,185352.90433895792,RPP-I-1000038_3
RPP-I-1000039,268,-398279.1754368719,184584.42179900198,RPP-I-1000039_1
RPP-I-1000039,269,-398224.4777901627,184543.6895088883,RPP-I-1000039_2
RPP-I-1000039,270,-398322.23528640904,184616.23177793677,RPP-I-1000039_3
RPP-I-1000052,230,-397804.7897296359,185163.59617161826,RPP-I-1000052_1
RPP-I-1000052,231,-397746.2128172015,185118.9846157867,RPP-I-1000052_2
RPP-I-1000052,232,-397858.32359662774,185205.49224143833,RPP-I-1000052_3
RPP-I-1000053,227,-397765.22121925035,185231.09539521206,RPP-I-1000053_1
RPP-I-1000053,228,-397823.7981316834,185276.4828041845,RPP-I-1000053_2
RPP-I-1000053,229,-397714.402838264,185193.07859111976,RPP-I-1000053_3
RPP-I-1000054,106,-396967.0622965156,185838.20048104736,RPP-I-1000054_1
RPP-I-1000054,107,-396974.8208279644,185828.50231673606,RPP-I-1000054_2
RPP-I-1000054,108,-396958.5279119227,185849.83827821937,RPP-I-1000054_3
RPP-I-1000055,357,-398278.20562044077,184064.98811853246,RPP-I-1000055_1
RPP-I-1000055,358,-398211.87017655943,184015.33351725474,RPP-I-1000055_2
RPP-I-1000055,359,-398336.78253287554,184109.59967435623,RPP-I-1000055_3
RPP-I-1000071,4,-395540.4211516841,187825.67571517813,RPP-I-1000071_1
RPP-I-1000071,5,-395532.97984747624,187840.73549749938,RPP-I-1000071_2
RPP-I-1000071,6,-395548.2168037121,187811.67897630646,RPP-I-1000071_3
RPP-I-1000073,271,-398329.9938178578,184508.3881908061,RPP-I-1000073_1
RPP-I-1000073,272,-398279.17543687235,184471.5351664202,RPP-I-1000073_2
RPP-I-1000073,273,-398379.6484191262,184544.8532886046,RPP-I-1000073_3
RPP-I-1000074,328,-398688.43797076534,184010.6783983889,RPP-I-1000074_1
RPP-I-1000074,329,-398633.74032405566,183968.7823285674,RPP-I-1000074_2
RPP-I-1000074,330,-398748.5665894885,184054.90202764363,RPP-I-1000074_3
RPP-I-1000077,354,-399389.42128710914,184374.5535233178,RPP-I-1000077_1
RPP-I-1000077,355,-399382.82653537835,184383.8637610544,RPP-I-1000077_2
RPP-I-1000077,356,-399396.4039654126,184366.4070653003,RPP-I-1000077_3
RPP-I-1000078,313,-399353.34411587426,184647.65383030323,RPP-I-1000078_1
RPP-I-1000078,314,-399304.8532943234,184611.96458564067,RPP-I-1000078_2
RPP-I-1000078,315,-399397.95567170286,184679.85173580277,RPP-I-1000078_3
RPP-I-1000083,242,-397972.76193548786,185499.5405833281,RPP-I-1000083_1
RPP-I-1000083,243,-397912.6333167642,185453.76524778878,RPP-I-1000083_2
RPP-I-1000083,244,-398037.54567308066,185549.9710377432,RPP-I-1000083_3
RPP-I-1000084,334,-398888.22015555715,183756.9744200275,RPP-I-1000084_1
RPP-I-1000084,335,-398826.92775711644,183711.1990844839,RPP-I-1000084_2
RPP-I-1000084,336,-398944.0815819838,183799.64634299124,RPP-I-1000084_3
RPP-I-1000086,265,-397831.89609888324,184253.90835930096,RPP-I-1000086_1
RPP-I-1000086,266,-397798.92234022846,184229.8569118104,RPP-I-1000086_2
RPP-I-1000086,267,-397862.15437153185,184276.408100497,RPP-I-1000086_3
RPP-I-1000087,375,-397650.79834084184,184767.30832687957,RPP-I-1000087_1
RPP-I-1000087,376,-397642.3382035251,184761.17472733586,RPP-I-1000087_2
RPP-I-1000087,377,-397657.5664506941,184772.38440927104,RPP-I-1000087_3
RPP-I-1000098,218,-397433.5439998399,185311.39619570476,RPP-I-1000098_1
RPP-I-1000098,219,-397407.552919488,185292.38779365754,RPP-I-1000098_2
RPP-I-1000098,220,-397454.87996132177,185329.62874461248,RPP-I-1000098_3
RPP-I-1000101,239,-398023.58031647344,185429.32587372142,RPP-I-1000101_1
RPP-I-1000101,240,-397965.0034040402,185384.32639132155,RPP-I-1000101_2
RPP-I-1000101,241,-398075.1745506039,185470.83401697176,RPP-I-1000101_3
RPP-I-1000102,369,-399773.46859379474,183940.07576221245,RPP-I-1000102_1
RPP-I-1000102,370,-399762.6066497677,183931.15345104344,RPP-I-1000102_2
RPP-I-1000102,371,-399784.3305378236,183948.61014679898,RPP-I-1000102_3
RPP-I-1000102,372,-399795.58040842315,183912.92090213997,RPP-I-1000102_4
RPP-I-1000102,373,-399782.7788315339,183907.10200354864,RPP-I-1000102_5
RPP-I-1000102,374,-399808.76991188416,183919.51565387004,RPP-I-1000102_6
RPP-I-1000103,319,-399127.95877730503,184477.74199158052,RPP-I-1000103_1
RPP-I-1000103,320,-399063.17503971286,184428.86324345358,RPP-I-1000103_2
RPP-I-1000103,321,-399190.4149554628,184525.06903341296,RPP-I-1000103_3
RPP-I-1000105,245,-398332.3698681116,185570.143219506,RPP-I-1000105_1
RPP-I-1000105,246,-398269.9136899539,185521.26447138257,RPP-I-1000105_2
RPP-I-1000105,247,-398380.0848365176,185607.7720970356,RPP-I-1000105_3
RPP-I-1000112,61,-394993.0009511708,186019.16822708817,RPP-I-1000112_1
RPP-I-1000112,62,-394911.92429753696,185975.3325244053,RPP-I-1000112_2
RPP-I-1000112,63,-395056.2329824728,186054.08161860277,RPP-I-1000112_3
RPP-I-1000113,280,-398892.8752744238,184788.4711760871,RPP-I-1000113_1
RPP-I-1000113,281,-398833.1345822724,184744.24754683094,RPP-I-1000113_2
RPP-I-1000113,282,-398944.08158198174,184826.10005361034,RPP-I-1000113_3
RPP-I-1000114,277,-398638.3954429239,184601.87849475184,RPP-I-1000114_1
RPP-I-1000114,278,-398573.99963190325,184554.16352634545,RPP-I-1000114_2
RPP-I-1000114,279,-398692.31723648816,184641.05907857104,RPP-I-1000114_3
RPP-J-1000001,346,-399135.5233454673,184109.98760093303,RPP-J-1000001_1
RPP-J-1000001,347,-399154.1438209431,184108.04796806525,RPP-J-1000001_2
RPP-J-1000001,348,-399138.62675804604,184128.6080764077,RPP-J-1000001_3
RPP-J-1000001,349,-399114.5753105569,184109.2117477872,RPP-J-1000001_4
RPP-J-1000001,350,-399121.1700622881,184100.2894366175,RPP-J-1000001_5
RPP-J-1000002,340,-399014.10232830327,184018.82485640922,RPP-J-1000002_1
RPP-J-1000002,341,-398977.63723049633,183991.669996341,RPP-J-1000002_2
RPP-J-1000002,342,-399047.076086958,184043.65215704704,RPP-J-1000002_3
RPP-J-1000047,286,-398813.93221693713,185444.06708347393,RPP-J-1000047_1
RPP-J-1000047,287,-398759.6224968011,185403.33479336166,RPP-J-1000047_2
RPP-J-1000047,288,-398863.5868182063,185481.69596099932,RPP-J-1000047_3
RPP-J-1000084,274,-398529.38807607634,184765.97143489035,RPP-J-1000084_1
RPP-J-1000084,275,-398477.7938419457,184728.7304839375,RPP-J-1000084_2
RPP-J-1000084,276,-398582.9219430687,184805.53994527075,RPP-J-1000084_3
RPP-L-1000037,100,-397291.7568376216,185763.71857915234,RPP-L-1000037_1
