"","RUELLE_ID","lat_S1","lat_S2","lat_S3","lat_S4","lat_S5","lat_S6","long_S1","long_S2","long_S3","long_S4","long_S5","long_S6"
"42","RPP-H-1000088",-396724.996122687,-396752.150982757,-396699.392968908,NA,NA,NA,185558.505317875,185572.08274791,185545.315814413,NA,NA,NA
"43","RPP-H-1000057",-396694.349923467,-396663.315797673,-396723.444416398,NA,NA,NA,185618.246010027,185602.341020558,185633.375146351,NA,NA,NA
"44","RPP-H-1000015",-396661.764091383,-396634.609231314,-396693.574070322,NA,NA,NA,185677.598775607,185662.469639282,185693.115838503,NA,NA,NA
"45","RPP-H-1000067",-396631.117892163,-396604.738885238,-396660.600311666,NA,NA,NA,185736.175688042,185722.598258007,185751.304824366,NA,NA,NA
"46","RPP-H-1000066",-396599.695839797,-396569.049640576,-396629.178259301,NA,NA,NA,185796.304306766,185780.399317297,185811.045516518,NA,NA,NA
"47","RPP-H-1000109",-396328.535165678,-396288.966655292,-396366.551969775,NA,NA,NA,185807.554177366,185787.381995601,185827.338432559,NA,NA,NA
"48","RPP-T-1000117",-396359.957218044,-396314.957735643,-396400.689508147,NA,NA,NA,185748.201411787,185725.701670586,185769.925299842,NA,NA,NA
"49","RPP-H-1000059",-396392.930976699,-396352.586613168,-396437.154605955,NA,NA,NA,185690.400352497,185669.452317586,185712.900093697,NA,NA,NA
"50","RPP-H-1000043",-396425.12888221,-396387.500004685,-396462.369833162,NA,NA,NA,185631.047586917,185611.651258296,185650.83184211,NA,NA,NA
"51","RPP-H-1000005",-396477.886896058,-396434.439119948,-396520.558819024,NA,NA,NA,185508.074863461,185485.187195688,185529.022898371,NA,NA,NA
"52","RPP-H-1000065",-396517.843333017,-396476.335189769,-396555.084283969,NA,NA,NA,185452.213437033,185431.265402122,185471.609765654,NA,NA,NA
"53","RPP-H-1000060",-396548.489532238,-396509.696874996,-396584.954630045,NA,NA,NA,185392.860671453,185373.07641626,185411.481146929,NA,NA,NA
"54","RPP-H-1000045",-396274.613372112,-396226.12255056,-396315.345662216,NA,NA,NA,185327.689007287,185302.085853508,185348.249115625,NA,NA,NA
"55","RPP-H-1000044b",-396304.968626404,-396261.132923721,-396341.045797639,NA,NA,NA,185274.155140294,185251.655399094,185292.77561577,NA,NA,NA
"56","RPP-T-1000046",-395981.049938436,-396004.713459354,-395959.713976953,NA,NA,NA,185403.916578767,185416.718155657,185392.666708167,NA,NA,NA
"57","RPP-T-1000063",-396013.635770519,-395992.299809036,-396031.48039285,NA,NA,NA,185344.95173976,185334.477722305,185353.874050925,NA,NA,NA
"58","RPP-H-1000006",-396113.041954701,-396162.69655597,-396061.835647142,NA,NA,NA,185622.125275751,185647.728429531,185595.746268827,NA,NA,NA
"59","RPP-H-1000094",-396073.473444314,-396034.680787073,-396106.44720297,NA,NA,NA,185758.287502669,185738.503247476,185774.580418711,NA,NA,NA
"60","RPP-H-1000093",-396042.827245094,-396007.525927004,-396075.413077177,NA,NA,NA,185831.993551428,185813.373075952,185849.062320615,NA,NA,NA
"61","RPP-H-1000090",-396030.025668204,-396004.034587852,-396055.240895411,NA,NA,NA,185902.596187608,185889.406684146,185915.78569107,NA,NA,NA
"62","RPP-H-1000013",-394925.792679821,-394881.956977138,-394967.688749642,NA,NA,NA,185449.885877598,185427.774062971,185471.609765654,NA,NA,NA
"63","RPP-H-1000012a",-394862.948575089,-394854.802117068,-394870.707106537,-395044.110284408,-395035.963826387,-395054.584301863,185332.732052729,185349.800821915,185314.499503825,185424.282723819,185438.636006998,185404.110542053
"64","RPP-T-1000026",-396734.11239714,-396691.052547602,-396770.577494947,NA,NA,NA,185045.66638914,185014.632263347,185072.045396065,NA,NA,NA
"65","RPP-H-1000070b",-397177.512469412,-397171.693570826,-397184.107221143,NA,NA,NA,185317.214989832,185324.585594708,185309.068531811,NA,NA,NA
"66","RPP-H-1000070a",-397249.746387961,-397240.631228186,-397231.516068411,NA,NA,NA,185283.037480492,185276.822598827,185269.364740829,NA,NA,NA
"67","RPP-H-1000025",-397298.545560006,-397290.764606949,-397305.2659975,NA,NA,NA,185208.207622983,185203.072669738,185213.84513129,NA,NA,NA
"68","RPP-I-1000098",-397433.544007207,-397407.552926855,-397454.87996869,NA,NA,NA,185311.396091246,185292.387689197,185329.628640149,NA,NA,NA
"69","RPP-L-1000099",-397637.205457726,-397583.671590732,-397683.368719843,NA,NA,NA,185468.118426502,185426.998209826,185504.195597737,NA,NA,NA
"70","RPP-I-1000038",-397725.652716236,-397658.541419208,-397781.902069237,NA,NA,NA,185309.456458384,185258.638077397,185352.904234494,NA,NA,NA
"71","RPP-I-1000053",-397765.221226623,-397823.798139058,-397714.402845636,NA,NA,NA,185231.095290755,185276.482699728,185193.078486659,NA,NA,NA
"72","RPP-I-1000052",-397804.789737009,-397746.212824575,-397858.323604003,NA,NA,NA,185163.596067155,185118.984511327,185205.492136976,NA,NA,NA
"73","RPP-T-1000072",-397621.688394829,-397585.999150166,-397649.23118147,NA,NA,NA,185022.778721368,184995.623861299,185044.502609423,NA,NA,NA
"74","RPP-I-1000023",-397945.995009369,-397887.806023507,-398013.106306397,NA,NA,NA,184992.520448719,184949.072672609,185028.209693382,NA,NA,NA
"75","RPP-I-1000101",-398023.580323852,-397965.003411417,-398075.174557984,NA,NA,NA,185429.32576926,185384.32628686,185470.833912509,NA,NA,NA
"76","RPP-I-1000083",-397972.761942866,-397912.633324141,-398037.545680459,NA,NA,NA,185499.540478868,185453.765143322,185549.970933282,NA,NA,NA
"77","RPP-I-1000105",-398332.369875496,-398269.913697337,-398380.084843903,NA,NA,NA,185570.143115047,185521.264366923,185607.771992572,NA,NA,NA
"78","RPP-T-1000024",-398186.800429196,-398171.477329586,-398200.377859231,NA,NA,NA,185906.669416619,185896.001435877,185917.143434074,NA,NA,NA
"79","RPP-H-1000089",-397287.829088442,-397243.605459187,-397325.457965967,NA,NA,NA,184765.195477283,184732.221718627,184794.289970214,NA,NA,NA
"80","RPP-H-1000069",-397270.372392683,-397224.597057138,-397314.983948511,NA,NA,NA,184834.634333745,184799.333015655,184868.771872118,NA,NA,NA
"81","RPP-H-1000040",-397987.066735224,-397942.843105968,-398028.1869519,NA,NA,NA,184469.983355673,184436.233743873,184500.629554894,NA,NA,NA
"82","RPP-I-1000086",-397831.896106257,-397798.922347602,-397862.154378906,NA,NA,NA,184253.908254837,184229.856807347,184276.407996037,NA,NA,NA
"83","RPP-I-1000039",-398279.175444254,-398224.477797543,-398322.235293792,NA,NA,NA,184584.421694536,184543.689404433,184616.231673475,NA,NA,NA
"84","RPP-I-1000073",-398329.99382524,-398279.175444254,-398379.64842651,NA,NA,NA,184508.388086343,184471.535061963,184544.85318415,NA,NA,NA
"85","RPP-J-1000084",-398529.388083463,-398477.793849331,-398582.921950456,NA,NA,NA,184765.971330427,184728.730379475,184805.539840814,NA,NA,NA
"86","RPP-I-1000114",-398638.395450312,-398573.999639291,-398692.317243878,NA,NA,NA,184601.878390295,184554.163421888,184641.058974109,NA,NA,NA
"87","RPP-I-1000113",-398892.875281817,-398833.134589665,-398944.081589376,NA,NA,NA,184788.471071628,184744.247442372,184826.099949152,NA,NA,NA
"88","RPP-L-1000048",-398774.363713944,-398720.441920378,-398836.819892103,NA,NA,NA,185512.342055758,185471.609765654,185556.177758441,NA,NA,NA
"89","RPP-J-1000047",-398813.932224331,-398759.622504192,-398863.5868256,NA,NA,NA,185444.066979012,185403.334688909,185481.695856537,NA,NA,NA
"90","RPP-H-1000081",-398926.430930332,-398871.733283621,-398974.533825311,NA,NA,NA,185290.835982908,185251.655399094,185326.137300998,NA,NA,NA
"91","RPP-H-1000080",-398984.231989622,-398935.74116807,-399031.559031457,NA,NA,NA,185215.190301286,185180.276909769,185249.715766231,NA,NA,NA
"92","RPP-T-1000079",-399038.54170976,-398982.29235676,-399095.954842478,NA,NA,NA,185139.156693093,185098.424402989,185180.664836341,NA,NA,NA
"93","RPP-I-1000033",-399094.791062761,-399027.679765732,-399161.514433216,NA,NA,NA,185071.26954292,185022.390794795,185120.924144189,NA,NA,NA
"94","RPP-H-1000076",-398720.441920378,-398669.623539392,-398765.053476206,NA,NA,NA,185023.942501085,184986.31362356,185055.752480023,NA,NA,NA
"95","RPP-H-1000104",-398663.416714233,-398611.434553529,-398711.907535785,NA,NA,NA,185100.364035851,185061.959305182,185134.889500796,NA,NA,NA
"96","RPP-T-1000022",-398604.451875225,-398545.87496279,-398659.537448509,NA,NA,NA,185171.354598603,185128.294749065,185213.638594997,NA,NA,NA
"97","RPP-T-1000081",-398538.892284487,-398490.013536362,-398597.857123494,NA,NA,NA,185246.22442708,185200.061164962,185288.120496901,NA,NA,NA
"98","RPP-I-1000078",-399353.344123277,-399304.853301725,-399397.955679105,NA,NA,NA,184647.65372584,184611.964481178,184679.851631351,NA,NA,NA
"99","RPP-I-1000021",-399075.200770854,-399015.460078701,-399136.881095868,NA,NA,NA,184549.120376446,184503.732967473,184594.119858847,NA,NA,NA
"100","RPP-I-1000103",-399127.958784702,-399063.175047109,-399190.414962862,NA,NA,NA,184477.741887122,184428.863138997,184525.068928956,NA,NA,NA
"101","RPP-L-1000051",-398847.875799417,-398794.729858996,-398895.590767824,NA,NA,NA,184377.656831438,184338.088321051,184413.734002673,NA,NA,NA
"102","RPP-I-1000010a",-398568.180740704,-398514.258947138,-398631.412772009,NA,NA,NA,184167.78855576,184127.832118801,184214.727671023,NA,NA,NA
"103","RPP-I-1000074",-398688.437978154,-398633.740331443,-398748.566596878,NA,NA,NA,184010.678293931,183968.78222411,184054.901923187,NA,NA,NA
"104","RPP-T-1000075",-398794.729858996,-398750.118303168,-398844.384460265,NA,NA,NA,183854.343885247,183821.370126592,183892.748615917,NA,NA,NA
"105","RPP-I-1000084",-398888.220162949,-398826.927764507,-398944.081589377,NA,NA,NA,183756.974315571,183711.198980025,183799.646238536,NA,NA,NA
"106","RPP-I-1000036",-399059.683707957,-399016.235931846,-399114.76928124,NA,NA,NA,183685.207899673,183652.62206759,183726.716042922,NA,NA,NA
"107","RPP-J-1000002",-399014.102335698,-398977.637237891,-399047.076094353,NA,NA,NA,184018.824751952,183991.669891883,184043.652052587,NA,NA,NA
"108","RPP-H-1000050",-399129.704454278,-399083.929118733,-399180.522835265,NA,NA,NA,183938.523951462,183903.222633372,183975.376975841,NA,NA,NA
"109","RPP-J-1000001",-399133.891346011,-399128.090789791,-399140.52055312,NA,NA,NA,184108.424845842,184104.695916843,184113.811076618,NA,NA,NA
"110","RPP-I-1000034",-399189.639109716,-399125.243298695,-399255.9745536,NA,NA,NA,184385.803289459,184337.312467907,184435.457890728,NA,NA,NA
"111","RPP-I-1000077",-399389.421294511,-399382.82654278,-399396.403972815,NA,NA,NA,184374.553418859,184383.863656597,184366.406960838,NA,NA,NA
"112","RPP-I-1000055",-398278.205627822,-398211.870183939,-398336.782540257,NA,NA,NA,184064.98801407,184015.3334128,184109.599569898,NA,NA,NA
"113","RPP-I-1000010b",-398332.903274533,-398272.386729236,-398395.359452692,NA,NA,NA,183990.118185593,183946.28248291,184037.057300856,NA,NA,NA
"114","RPP-H-1000032",-399814.200891308,-399771.528968342,-399850.665989115,NA,NA,NA,184061.108748345,184029.298769407,184089.427388132,NA,NA,NA
"115","RPP-T-1000004",-399916.225579853,-399882.088041481,-399947.647632219,NA,NA,NA,183955.592720648,183930.377493441,183979.644168138,NA,NA,NA
"116","RPP-I-1000102b",-399773.468601204,-399762.606657176,-399784.330545232,NA,NA,NA,183940.075657751,183931.153346586,183948.610042345,NA,NA,NA
"117","RPP-I-1000102a",-399795.580415832,-399782.778838942,-399808.769919294,NA,NA,NA,183912.920797682,183907.101899096,183919.515549413,NA,NA,NA
"118","RPP-I-1000087",-397650.798348212,-397642.338210896,-397657.566458065,NA,NA,NA,184767.308222422,184761.174622868,184772.384304812,NA,NA,NA
"119","RPP-H-1000003a",-397259.781376645,-397256.291570003,-397263.694190154,NA,NA,NA,184646.434010522,184651.087086046,184641.780934998,NA,NA,NA
"120","RPP-I-1000035",-399542.220672744,-399476.654608547,-399601.864640821,NA,NA,NA,183536.887001549,183489.087225714,183581.302722457,NA,NA,NA
