RUELLE_ID,PROPRIETAI,Length,L1,X_1,X_2,X_3,Y_1,Y_2,Y_3,geometry
PMR-A-1000010,Plateau - Mont-Royal,395.92698816314424,1,-395858.3914399084,-395886.0903853273,-395807.87227260217,183661.49430817517,183688.18549004477,183627.52935225423,"c(-395811.782673388, -395798.615665524, -395798.419736631, -395798.559762783, -395798.951915225, -395799.762664232, -395830.724575898, -395875.657587042, -395889.381792596, -395903.449365195, -395904.470538706, -395905.491712181, -395906.182466483, -395906.873220758, -395890.084003149, -395886.57426241, -395885.596940874, -395845.204908575, -395805.398364777, -395795.56870038, -395794.859386197, -395794.150216953, -395793.539570728, -395780.196485338, -395778.615729755, -395777.034974103, -395790.664843311, 
-395792.86418328, -395795.942006153, -395808.163035734, -395809.972854604, -395811.782673388, 183596.455329629, 183613.395438567, 183614.290051613, 183615.247910285, 183615.729823315, 183616.355418623, 183640.724470739, 183674.45620617, 183684.702099618, 183666.272497111, 183667.053753523, 183667.835009942, 183668.401021442, 183668.967032972, 183691.098396957, 183688.538425354, 183687.825576388, 183656.29817618, 183625.622939359, 183618.455621824, 183618.333605026, 183618.588885991, 183618.911049258, 
183636.472232288, 183635.241004523, 183634.009776824, 183616.673147579, 183613.746485116, 183609.650825999, 183593.709739161, 183595.082534348, 183596.455329629)"
PMR-A-1000027,Plateau - Mont-Royal,545.0073347645887,2,-396411.70890720555,-396352.68186066026,-396460.25702525623,184096.7615311186,184044.72794135066,184128.34334442695,"c(-396519.374029744, -396470.457622543, -396412.982109784, -396365.337353314, -396328.77672383, -396330.451007702, -396332.125291687, -396332.184832136, -396332.244372592, -396368.050326812, -396413.290606118, -396457.38497833, -396485.517167812, -396522.86282385, -396536.907011995, -396538.026647781, -396539.149924916, -396522.054670321, -396519.374029744, 184180.264387126, 184142.473446378, 184097.746561023, 184060.885569135, 184033.017969374, 184030.815992536, 184028.614015842, 184028.659714987, 
184028.705414122, 184056.776470336, 184091.56267165, 184126.192909735, 184147.25678431, 184175.763555219, 184157.660774062, 184158.616510796, 184159.575028995, 184182.335350558, 184180.264387126)"
PMR-A-1000034,Plateau - Mont-Royal,453.81779667158014,3,-396388.70353244385,-396390.2306490915,-396480.5620443234,183280.7547560028,183275.38244342076,183344.02699430793,"c(-396478.962287118, -396443.293193771, -396405.455113642, -396374.200908619, -396345.09751369, -396345.037972326, -396344.978430954, -396346.530501945, -396348.082573035, -396348.141580527, -396348.200588024, -396367.085984832, -396409.586843096, -396446.400123364, -396484.110119453, -396507.646448653, -396506.129571593, -396504.612694622, -396482.916861241, -396470.068619475, -396468.172953067, -396466.277286556, -396478.962287118, 183349.49527499, 183322.344035044, 183293.472456519, 183269.744450509, 
183247.32662056, 183247.280921962, 183247.235223364, 183245.133867877, 183243.032512537, 183243.078674886, 183243.124837253, 183257.959955872, 183289.953104082, 183318.036652369, 183346.72636493, 183364.697635323, 183366.692331095, 183368.687026975, 183352.467372969, 183369.423334432, 183367.978852669, 183366.534371012, 183349.49527499)"
PMR-A-1000046,Plateau - Mont-Royal,245.046252087656,4,-395825.7426471038,-395874.3370871928,-395869.1512540556,184048.8573063449,184086.1604342189,184086.76740342914,"c(-395820.791185638, -395820.404061186, -395806.063955192, -395804.787240971, -395803.510526706, -395803.421744567, -395803.332962426, -395820.106903016, -395846.846716796, -395895.66405011, -395894.726657033, -395893.417913826, -395869.870247876, -395821.996268629, -395821.390475806, -395820.791185638, 184049.60497173, 184049.974600483, 184068.013405067, 184067.031231638, 184066.049058267, 184065.980758368, 184065.912458475, 184044.562788472, 184064.938910313, 184102.624041179, 184103.828512097, 
184105.510136715, 184087.33340673, 184049.646253458, 184049.463615829, 184049.60497173)"
PMR-A-1000053,Plateau - Mont-Royal,63.75450044295154,5,-398109.7801283926,-398099.45380948484,-398108.9165330627,183193.2927623316,183199.01736319883,183186.1917391239,"c(-398119.418753344, -398117.794747278, -398103.333714706, -398101.363580432, -398099.393446062, -398114.65633079, -398115.360579433, -398117.389666441, -398119.418753344, 183180.61532173, 183182.369677006, 183202.078548375, 183200.588863547, 183199.099178815, 183178.412109156, 183177.498328741, 183179.056825177, 183180.61532173)"
PMR-A-1000065,Plateau - Mont-Royal,258.1389883585489,6,-398330.89808193396,-398383.15621552523,-398372.4562892958,182747.74522364757,182785.61103179993,182782.48726668442,"c(-398320.159395574, -398307.315507684, -398306.009720061, -398304.703932382, -398319.901592458, -398353.319351076, -398403.005830461, -398403.065973969, -398403.126117468, -398401.748253266, -398400.370389156, -398400.310245652, -398400.250102141, -398369.119516993, -398320.159395574, 182744.67805076, 182762.504121061, 182761.527640789, 182760.551160548, 182739.789355089, 182763.96682515, 182800.010305166, 182800.054545004, 182800.098784847, 182801.994812514, 182803.890840297, 182803.846600457, 
182803.802360605, 182779.928293743, 182744.67805076)"
PMR-A-1000066,Plateau - Mont-Royal,93.64369359146603,7,-396826.86287934653,-396812.3260086706,-396826.17719480966,183010.15940011357,183024.09681415113,183005.22312937886,"c(-396840.763103368, -396827.952227083, -396815.141357553, -396815.097985249, -396815.054612944, -396813.662234236, -396812.269855483, -396825.10352888, -396837.937209091, -396839.350156257, -396840.763103368, 182991.321801899, 183008.683113512, 183026.044433868, 183026.105526779, 183026.166619696, 183025.169974198, 183024.173328728, 183006.686109716, 182989.198899513, 182990.260350679, 182991.321801899)"
PMR-A-1000067,Plateau - Mont-Royal,415.97199139253513,8,-395733.1933546842,-395651.3940455774,-395732.8556998399,183415.894530654,183353.60117643225,183412.60294464754,"c(-395814.593069229, -395813.315295027, -395811.712847375, -395809.833067918, -395778.755834196, -395777.287098215, -395762.870748447, -395740.267864234, -395710.859697632, -395676.278809919, -395654.192234201, -395653.18312722, -395650.908891797, -395651.667331522, -395652.42577129, -395669.900222484, -395692.697731658, -395774.019026793, -395777.149679935, -395814.593069229, 183468.755310717, 183470.529978438, 183472.75557702, 183471.94002854, 183448.355698147, 183450.037999726, 183438.706941152, 
183421.338570747, 183398.7081344, 183372.452699744, 183355.835869747, 183355.307300868, 183354.787821387, 183352.932742215, 183351.077663101, 183364.726312349, 183381.760541998, 183444.217489948, 183440.266406171, 183468.755310717)"
PMR-A-1000071,Plateau - Mont-Royal,586.4729943218665,9,-396725.36957100866,-396732.60756883526,-396652.27139239793,183338.73900324432,183382.49620640808,183295.95176534995,"c(-396667.015762354, -396641.48792326, -396641.641711084, -396664.480818145, -396703.602458434, -396741.13471734, -396766.82833733, -396770.566980595, -396770.902393295, -396771.237805997, -396752.263845636, -396742.654275784, -396747.904664976, -396729.355381997, -396727.396865687, -396725.438349283, -396740.38215367, -396740.406841707, -396740.074486082, -396736.913679319, -396732.802718967, -396711.671252268, -396673.03060955, -396634.07851881, -396631.971174005, -396605.937488971, -396607.154940816, 
-396608.372392722, -396634.546153438, -396636.349602015, -396662.899327905, -396664.817617136, -396667.015762354, 183242.940066849, 183276.451017334, 183276.49693736, 183293.746772163, 183322.371040177, 183350.593737399, 183317.295279972, 183320.087951759, 183320.293794031, 183320.499636294, 183345.322119515, 183358.548291537, 183362.29999536, 183386.789952825, 183385.306047627, 183383.822142539, 183364.307707372, 183363.938220899, 183363.347943757, 183360.848580148, 183357.597896646, 183341.696228425, 
183311.664990624, 183282.181076457, 183280.585970932, 183260.802373569, 183259.203851094, 183257.605328699, 183277.038192102, 183274.916749382, 183239.902000489, 183241.317762029, 183242.940066849)"
PMR-A-1000079,Plateau - Mont-Royal,101.77323175440041,10,-397013.9132331817,-397029.6280722891,-397014.57092257566,183526.82040482218,183513.25813803615,183533.76774947485,"c(-396998.520548095, -396999.707919894, -397009.70156585, -397009.718023083, -397025.970732767, -397027.86659641, -397029.762459959, -397011.222521359, -397002.719765534, -396998.520548095, 183547.076137396, 183545.538665654, 183532.598370506, 183532.584519565, 183510.253699107, 183511.664392606, 183513.0750862, 183538.328666328, 183550.163947365, 183547.076137396)"
PMR-C-1000031,Plateau - Mont-Royal,273.2475197505284,11,-396202.939298982,-396228.7371049722,-396175.6950735792,181914.8945702485,181932.76056423815,181898.32232462917,"c(-396174.559018418, -396164.16948076, -396178.601563743, -396177.83915784, -396196.508619789, -396225.583399152, -396237.500494274, -396238.682915443, -396239.865336562, -396225.36213421, -396201.115968373, -396173.256896876, -396161.784451694, -396160.201791569, -396151.188452267, -396150.874414192, -396152.352138848, -396161.901426853, -396172.398442059, -396173.478730258, -396174.559018418, 181869.835221791, 181883.649990859, 181894.427862348, 181895.379554824, 181909.999650439, 181932.130860718, 
181917.150674683, 181918.038171424, 181918.925668183, 181936.956412366, 181918.503443838, 181896.386706898, 181887.738245704, 181886.482837836, 181880.047956273, 181876.677855332, 181874.70109184, 181881.87801915, 181868.209097714, 181869.022159727, 181869.835221791)"
PMR-H-1000008,Plateau - Mont-Royal,258.94503390008026,12,-396412.2385288812,-396361.1067347962,-396411.64195693104,183681.098092244,183641.52076819586,183673.4953417768,"c(-396463.158209006, -396461.576728426, -396459.995247953, -396448.400573284, -396404.189046095, -396361.179234461, -396361.119693571, -396361.060152678, -396364.253215014, -396364.312843796, -396364.372531172, -396416.269628415, -396463.158209006, 183712.698133813, 183714.722811351, 183716.747489017, 183708.402497308, 183675.020273852, 183641.672978651, 183641.627279753, 183641.581580863, 183637.413057703, 183637.458641545, 183637.504148698, 183677.018875545, 183712.698133813)"
PMR-H-1000018,Plateau - Mont-Royal,355.2952785513263,13,-395860.7847798022,-395931.0733880427,-395903.4525241212,183583.54394151602,183631.07841691226,183620.97764632016,"c(-395832.248223828, -395818.851030209, -395817.399333358, -395815.947636453, -395831.597530177, -395833.313902335, -395835.030274407, -395836.455865456, -395874.24587679, -395914.619223648, -395926.922005805, -395927.617989451, -395928.332477263, -395928.93978255, -395942.163417717, -395943.914249655, -395945.665081524, -395930.453935206, -395929.691598884, -395928.053315737, -395926.41503251, -395923.890282756, -395924.33701207, -395924.710621387, -395924.860452002, -395901.418151762, -395870.912580851, 
-395846.014894574, -395835.725700743, -395834.744171688, -395833.79131613, -395832.909389563, -395832.248223828, 183569.391329251, 183587.000539795, 183585.889769834, 183584.778999925, 183564.052088007, 183565.343691607, 183566.635295282, 183564.989560828, 183593.810010706, 183624.344635541, 183633.813634363, 183634.200930891, 183634.256773793, 183633.882566369, 183616.503041669, 183617.842485498, 183619.181929403, 183639.272300499, 183640.225273267, 183638.919147571, 183637.613021956, 183641.343477924, 
183640.653411321, 183639.476774417, 183637.750007638, 183619.383786865, 183596.381969117, 183577.672705874, 183569.463375832, 183569.031570467, 183568.801745827, 183568.991739656, 183569.391329251)"
